Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (°C),Season,Household Size
248,Oven,1.242,09:19,2024-04-06,42.2,Summer,3
8,Dishwasher,0.256,01:08,2024-03-23,20.6,Spring,5
327,TV,0.06,15:11,2024-12-11,18.2,Winter,4
495,TV,0.044,02:36,2024-05-03,29.9,Summer,1
323,Washing Machine,0.689,09:35,2024-03-04,31.4,Spring,1
392,Lights,0.14,14:19,2024-03-14,26.3,Spring,4
292,Washing Machine,0.636,03:13,2024-02-21,27.1,Winter,5
136,Air Conditioning,0.33,02:28,2024-03-14,22.4,Spring,1
353,Dishwasher,0.971,09:55,2024-09-23,22.4,Fall,5
233,Washing Machine,0.359,20:07,2024-03-14,31.0,Spring,1
279,Fridge,0.291,02:19,2024-03-26,31.6,Spring,2
305,Microwave,0.095,22:32,2024-05-09,30.1,Summer,5
277,Oven,1.932,13:16,2024-07-20,29.2,Fall,4
14,Dishwasher,0.727,21:02,2024-03-19,34.0,Spring,1
391,Lights,0.068,08:40,2024-11-14,29.8,Fall,2
417,Heater,1.262,10:10,2024-01-28,13.0,Winter,4
169,Computer,0.303,12:29,2024-09-02,30.0,Fall,4
46,Computer,0.222,12:00,2024-05-27,30.0,Summer,3
337,Lights,0.119,16:31,2024-10-25,22.7,Fall,5
321,TV,0.04,04:31,2024-12-23,11.1,Winter,4
63,Microwave,0.064,00:14,2024-03-03,24.4,Spring,1
431,Dishwasher,0.293,04:45,2024-07-17,29.8,Fall,1
140,Microwave,0.055,17:58,2024-10-07,24.9,Fall,4
307,Computer,0.353,13:52,2024-03-09,23.9,Spring,5
2,Fridge,0.321,21:34,2024-06-15,37.9,Summer,3
248,Oven,1.721,12:12,2024-06-28,41.0,Summer,3
358,Oven,1.673,13:30,2024-08-24,32.3,Fall,2
362,Computer,0.045,01:21,2024-08-19,27.9,Fall,4
446,Fridge,0.221,14:55,2024-07-14,28.3,Fall,1
336,Lights,0.197,08:25,2024-01-23,23.0,Winter,2
333,TV,0.148,12:34,2024-06-28,42.6,Summer,1
19,Heater,0.129,09:06,2024-12-14,19.5,Winter,5
390,Oven,0.279,00:03,2024-08-26,30.3,Fall,1
151,Lights,0.071,16:50,2024-05-22,30.5,Summer,3
93,Washing Machine,0.554,12:58,2024-03-16,28.5,Spring,2
299,Air Conditioning,1.572,14:29,2024-03-26,28.9,Spring,2
462,Dishwasher,0.253,11:27,2024-03-21,26.2,Spring,3
354,TV,0.092,12:15,2024-09-04,24.4,Fall,3
196,Air Conditioning,1.569,22:42,2024-06-27,33.0,Summer,5
203,Lights,0.472,23:31,2024-02-24,24.9,Winter,3
427,Dishwasher,0.276,06:48,2024-03-22,23.1,Spring,3
370,TV,0.144,09:37,2024-02-02,19.9,Winter,2
187,Washing Machine,0.594,13:50,2024-01-05,12.5,Winter,2
277,Dishwasher,0.856,15:55,2024-04-24,32.4,Summer,3
174,Microwave,0.19,07:51,2024-07-28,23.7,Fall,1
286,TV,0.4,17:43,2024-01-12,5.3,Winter,3
384,Air Conditioning,0.57,07:56,2024-09-20,23.3,Fall,3
483,TV,0.081,02:19,2024-06-23,31.8,Summer,5
333,TV,0.045,01:06,2024-12-04,6.0,Winter,4
121,Computer,0.078,21:37,2024-03-14,26.4,Spring,5
381,Dishwasher,0.354,19:44,2024-07-02,32.0,Fall,2
190,Oven,0.296,11:57,2024-10-18,33.4,Fall,2
331,TV,0.071,03:42,2024-01-03,11.3,Winter,3
109,Lights,0.464,07:04,2024-12-07,23.1,Winter,5
425,Fridge,0.421,07:57,2024-03-26,31.4,Spring,5
306,Fridge,0.285,17:42,2024-04-04,44.8,Summer,1
444,Oven,1.035,07:11,2024-03-01,25.0,Spring,1
136,TV,0.041,23:49,2024-03-15,27.4,Spring,1
186,Computer,0.218,19:29,2024-01-10,16.6,Winter,5
330,Heater,0.047,13:45,2024-01-16,24.5,Winter,1
466,Fridge,0.192,04:39,2024-12-09,12.4,Winter,4
325,TV,0.058,16:38,2024-05-17,44.9,Summer,5
221,Washing Machine,0.382,17:28,2024-02-14,20.0,Winter,1
455,Heater,0.03,12:27,2024-09-11,31.9,Fall,2
161,Heater,0.039,15:05,2024-04-27,39.7,Summer,3
48,Air Conditioning,0.09,04:35,2024-02-19,22.0,Winter,4
288,Microwave,0.402,21:58,2024-01-28,13.1,Winter,3
370,Computer,0.085,03:09,2024-06-07,33.3,Summer,1
337,Heater,0.03,17:17,2024-03-25,24.9,Spring,4
294,Computer,0.115,19:38,2024-11-01,33.7,Fall,2
476,Oven,1.306,09:11,2024-12-01,11.3,Winter,3
446,Heater,0.041,20:33,2024-07-24,23.7,Fall,2
111,Oven,0.358,11:36,2024-10-25,26.1,Fall,4
306,Heater,1.385,19:28,2024-12-09,8.6,Winter,1
339,Computer,0.106,08:22,2024-11-04,27.3,Fall,4
221,Dishwasher,0.601,15:14,2024-06-02,39.5,Summer,1
203,Fridge,0.214,06:16,2024-12-25,9.7,Winter,5
149,Fridge,0.21,13:34,2024-12-13,16.4,Winter,3
361,Microwave,0.058,23:29,2024-04-01,34.8,Summer,2
472,Microwave,0.281,12:07,2024-06-10,35.3,Summer,1
208,Oven,1.94,19:27,2024-04-03,41.6,Summer,1
433,Microwave,0.095,16:19,2024-03-28,28.2,Spring,1
382,Heater,0.03,02:32,2024-03-17,30.9,Spring,3
100,Fridge,0.402,20:06,2024-06-08,44.3,Summer,3
75,Fridge,0.295,20:40,2024-03-25,28.4,Spring,3
253,Oven,2.084,19:28,2024-11-05,29.7,Fall,4
35,Oven,0.268,18:04,2024-09-17,31.6,Fall,4
159,Heater,0.035,09:38,2024-07-20,22.7,Fall,4
260,TV,0.086,23:36,2024-11-26,28.7,Fall,4
334,TV,0.059,04:51,2024-06-04,36.1,Summer,2
461,TV,0.04,01:33,2024-02-15,19.9,Winter,3
268,Microwave,0.269,09:21,2024-03-25,25.2,Spring,5
348,Heater,0.03,02:43,2024-02-18,19.9,Winter,5
198,Fridge,0.451,19:05,2024-06-11,42.5,Summer,3
299,Microwave,0.071,22:38,2024-05-05,44.5,Summer,2
363,Fridge,0.266,10:44,2024-06-22,34.4,Summer,1
425,Air Conditioning,0.274,16:19,2024-02-12,20.4,Winter,5
93,Heater,0.03,04:54,2024-05-10,31.3,Summer,2
404,Lights,0.463,19:09,2024-02-13,12.7,Winter,1
84,Washing Machine,0.743,11:39,2024-03-15,20.6,Spring,2
146,Washing Machine,1.01,15:43,2024-03-12,24.3,Spring,4
485,Computer,0.433,12:10,2024-10-14,31.2,Fall,5
419,Oven,0.439,15:59,2024-03-18,20.7,Spring,2
53,TV,0.061,05:09,2024-01-17,6.9,Winter,5
426,Microwave,0.067,11:25,2024-12-02,23.8,Winter,4
258,Air Conditioning,1.751,11:59,2024-03-11,33.9,Spring,3
51,Fridge,0.191,15:45,2024-03-25,20.5,Spring,3
241,Fridge,0.175,06:46,2024-12-18,5.4,Winter,4
312,Heater,0.03,07:15,2024-07-02,31.3,Fall,5
215,Computer,0.366,15:40,2024-07-01,23.3,Fall,5
264,Oven,0.473,00:36,2024-03-08,24.1,Spring,5
214,Computer,0.05,02:50,2024-02-17,27.4,Winter,2
260,Microwave,0.082,01:16,2024-01-12,25.1,Winter,5
383,Heater,0.037,23:37,2024-04-25,33.9,Summer,1
377,Fridge,0.297,10:49,2024-03-27,24.9,Spring,3
351,TV,0.063,02:18,2024-08-02,31.7,Fall,4
104,Microwave,0.183,09:34,2024-03-27,24.4,Spring,1
243,Air Conditioning,0.151,11:41,2024-02-28,9.4,Winter,3
170,TV,0.071,12:21,2024-01-13,15.0,Winter,3
499,Heater,0.03,16:27,2024-10-24,26.4,Fall,2
41,Dishwasher,0.252,02:28,2024-03-10,24.5,Spring,4
309,Oven,0.354,01:27,2024-03-20,24.9,Spring,4
141,Fridge,0.164,11:09,2024-02-01,19.7,Winter,1
435,Oven,1.711,07:24,2024-07-12,23.5,Fall,5
487,Oven,1.969,14:48,2024-02-15,8.5,Winter,5
40,Washing Machine,0.547,20:01,2024-03-04,25.6,Spring,5
377,Dishwasher,0.289,17:16,2024-11-25,26.6,Fall,2
361,Heater,0.03,15:54,2024-03-05,29.7,Spring,4
38,Oven,2.391,21:22,2024-03-22,34.0,Spring,4
364,Fridge,0.309,22:23,2024-05-26,42.5,Summer,1
261,TV,0.065,07:23,2024-12-01,23.2,Winter,2
284,Lights,0.562,17:04,2024-05-03,41.7,Summer,5
159,Lights,0.085,13:08,2024-11-03,26.9,Fall,4
498,Fridge,0.185,16:49,2024-01-27,15.7,Winter,3
283,Heater,0.035,01:09,2024-03-17,26.1,Spring,5
156,Computer,0.064,07:54,2024-03-10,33.1,Spring,2
41,Computer,0.363,09:32,2024-03-03,21.8,Spring,3
329,Oven,0.385,23:59,2024-03-27,29.2,Spring,2
289,Lights,0.51,20:41,2024-12-09,6.0,Winter,1
108,Computer,0.318,15:41,2024-11-10,29.7,Fall,5
490,Dishwasher,1.065,21:04,2024-08-15,31.7,Fall,3
353,Oven,1.202,14:09,2024-03-20,25.8,Spring,1
161,Computer,0.263,11:20,2024-05-04,30.2,Summer,3
124,Air Conditioning,0.107,04:24,2024-01-10,15.3,Winter,4
443,Oven,0.452,05:46,2024-08-19,33.6,Fall,5
161,Dishwasher,0.851,14:01,2024-03-16,33.9,Spring,2
47,Air Conditioning,0.698,11:31,2024-08-10,24.6,Fall,4
306,Fridge,0.294,03:46,2024-06-09,28.1,Summer,4
188,Washing Machine,0.546,18:35,2024-04-12,34.8,Summer,4
148,Lights,0.43,17:39,2024-11-22,27.4,Fall,1
61,Oven,0.355,10:09,2024-01-25,13.6,Winter,2
102,Oven,0.371,01:30,2024-11-26,22.5,Fall,5
266,Fridge,0.286,19:39,2024-03-13,24.6,Spring,4
379,Lights,0.474,17:30,2024-06-10,42.1,Summer,3
418,Dishwasher,0.638,13:57,2024-05-26,39.5,Summer,1
372,Washing Machine,0.25,18:03,2024-09-24,33.6,Fall,1
299,Air Conditioning,0.351,21:44,2024-03-19,22.1,Spring,4
57,Washing Machine,0.202,04:32,2024-01-14,12.2,Winter,2
397,Computer,0.327,16:42,2024-07-11,30.5,Fall,5
245,Oven,2.467,14:22,2024-09-18,33.5,Fall,5
347,Dishwasher,0.661,08:19,2024-08-08,33.5,Fall,3
395,Dishwasher,0.277,11:07,2024-03-10,24.4,Spring,3
294,Air Conditioning,0.975,04:45,2024-10-10,31.8,Fall,5
41,Computer,0.082,06:59,2024-09-09,31.0,Fall,3
288,Washing Machine,0.366,18:42,2024-03-02,28.6,Spring,3
464,TV,0.072,13:43,2024-03-04,20.7,Spring,5
395,TV,0.069,05:41,2024-02-16,27.5,Winter,2
103,Lights,0.229,02:34,2024-05-08,39.0,Summer,3
379,Microwave,0.055,05:31,2024-03-26,32.4,Spring,1
96,Oven,1.894,19:29,2024-12-10,11.9,Winter,3
329,Washing Machine,0.867,14:07,2024-08-26,32.2,Fall,5
170,Oven,0.255,00:18,2024-09-26,30.6,Fall,2
291,Heater,0.078,16:42,2024-03-13,31.6,Spring,2
49,Dishwasher,0.331,07:15,2024-03-13,24.5,Spring,2
229,Dishwasher,0.354,18:23,2024-05-21,37.9,Summer,3
355,Microwave,0.255,09:32,2024-02-22,7.7,Winter,2
473,Lights,0.203,09:14,2024-02-08,26.1,Winter,3
491,Microwave,0.229,19:35,2024-08-23,27.5,Fall,2
468,Heater,0.034,19:28,2024-03-17,29.5,Spring,4
271,Washing Machine,0.38,17:34,2024-02-19,7.6,Winter,3
77,Lights,0.347,21:05,2024-06-16,35.5,Summer,2
461,TV,0.067,16:03,2024-07-19,27.4,Fall,5
287,Air Conditioning,1.508,08:13,2024-06-24,28.4,Summer,4
297,Air Conditioning,0.095,02:59,2024-01-03,12.9,Winter,1
242,Microwave,0.054,04:57,2024-05-12,31.1,Summer,1
196,Computer,0.098,21:41,2024-10-05,23.0,Fall,4
441,Fridge,0.263,12:14,2024-12-24,27.8,Winter,3
428,Microwave,0.066,23:24,2024-01-18,15.6,Winter,1
422,Heater,0.049,08:51,2024-03-02,24.8,Spring,2
339,Air Conditioning,0.116,03:38,2024-12-15,9.7,Winter,4
345,Washing Machine,0.66,07:55,2024-03-25,25.6,Spring,1
398,Oven,0.345,23:38,2024-03-19,23.3,Spring,1
396,Washing Machine,0.227,21:19,2024-03-14,32.3,Spring,3
141,Microwave,0.056,01:33,2024-03-26,27.8,Spring,1
164,Computer,0.03,05:15,2024-08-16,25.6,Fall,4
435,Computer,0.363,14:26,2024-06-14,30.5,Summer,2
286,Heater,0.03,06:54,2024-03-15,23.4,Spring,5
190,Lights,0.395,21:55,2024-03-02,23.8,Spring,1
38,Air Conditioning,0.524,10:59,2024-03-07,22.9,Spring,2
98,Microwave,0.063,22:35,2024-08-08,30.3,Fall,1
165,Dishwasher,0.265,11:32,2024-10-12,28.4,Fall,3
452,Oven,0.307,23:23,2024-07-07,31.6,Fall,4
161,Air Conditioning,0.152,23:35,2024-02-09,24.9,Winter,4
479,Microwave,0.06,10:53,2024-09-19,23.8,Fall,5
126,TV,0.093,15:10,2024-05-15,41.0,Summer,4
376,Computer,0.288,15:03,2024-03-21,30.1,Spring,3
269,Fridge,0.14,00:40,2024-02-27,6.1,Winter,1
119,Air Conditioning,0.913,14:40,2024-03-20,23.1,Spring,1
342,Microwave,0.064,17:01,2024-10-01,22.2,Fall,5
272,Microwave,0.089,22:58,2024-04-26,36.5,Summer,3
92,Computer,0.051,06:52,2024-02-09,8.4,Winter,1
182,Lights,0.092,12:44,2024-07-08,26.5,Fall,3
116,Air Conditioning,0.437,20:25,2024-02-03,27.8,Winter,3
195,Heater,0.031,22:54,2024-07-16,29.6,Fall,4
223,Lights,0.396,07:17,2024-02-16,26.1,Winter,3
24,Oven,0.336,01:13,2024-06-01,37.6,Summer,1
301,Lights,0.486,18:54,2024-07-27,25.6,Fall,2
200,Heater,0.062,04:47,2024-05-17,40.8,Summer,5
499,Lights,0.275,02:39,2024-12-25,15.1,Winter,3
489,TV,0.145,08:14,2024-09-16,22.4,Fall,5
183,Microwave,0.107,18:49,2024-10-03,24.2,Fall,5
317,Fridge,0.169,04:24,2024-03-24,21.1,Spring,3
163,Oven,1.426,09:17,2024-12-25,5.1,Winter,3
53,Computer,0.275,17:06,2024-12-14,14.9,Winter,2
14,Oven,1.583,19:24,2024-06-28,29.6,Summer,1
7,Washing Machine,0.219,23:33,2024-10-19,31.4,Fall,3
87,Fridge,0.28,08:10,2024-03-03,23.8,Spring,4
223,Dishwasher,0.399,02:46,2024-09-08,27.8,Fall,3
321,Microwave,0.221,09:53,2024-03-11,21.5,Spring,4
318,Fridge,0.329,20:20,2024-05-10,33.7,Summer,4
309,Dishwasher,0.345,12:44,2024-09-24,24.1,Fall,2
325,Heater,0.048,12:12,2024-03-19,25.3,Spring,4
304,Washing Machine,1.05,14:51,2024-03-15,33.3,Spring,5
150,Dishwasher,0.735,09:09,2024-10-22,23.7,Fall,1
367,Lights,0.611,19:34,2024-07-13,27.4,Fall,4
260,Heater,0.03,17:49,2024-01-04,21.1,Winter,4
128,Microwave,0.318,20:21,2024-03-25,27.9,Spring,3
495,Computer,0.095,07:37,2024-12-18,7.3,Winter,4
353,Lights,0.2,14:32,2024-03-23,25.2,Spring,5
78,Heater,0.938,13:46,2024-01-27,7.4,Winter,3
73,TV,0.044,06:30,2024-05-12,35.7,Summer,3
50,Heater,0.03,01:54,2024-09-01,22.8,Fall,4
176,Oven,0.4,17:27,2024-03-18,27.2,Spring,1
491,Microwave,0.058,05:01,2024-03-13,28.8,Spring,4
378,Washing Machine,0.974,12:17,2024-03-07,28.3,Spring,5
386,TV,0.092,10:16,2024-02-04,9.3,Winter,1
344,Heater,0.03,12:22,2024-06-12,34.6,Summer,4
433,Fridge,0.338,18:07,2024-03-11,32.9,Spring,4
123,Microwave,0.058,04:38,2024-12-14,13.6,Winter,3
71,Fridge,0.298,20:10,2024-10-18,24.2,Fall,5
251,Air Conditioning,1.114,14:22,2024-03-28,24.4,Spring,3
488,Computer,0.293,12:31,2024-08-21,24.3,Fall,1
210,Air Conditioning,0.668,02:48,2024-10-26,27.9,Fall,4
113,TV,0.14,09:47,2024-01-19,10.2,Winter,3
396,Oven,0.551,17:52,2024-02-18,7.6,Winter,4
388,Washing Machine,0.521,13:55,2024-11-10,24.6,Fall,1
17,Heater,0.068,02:51,2024-05-25,42.7,Summer,4
122,Lights,0.069,13:50,2024-06-05,38.4,Summer,2
106,Computer,0.101,08:20,2024-02-06,13.1,Winter,2
361,Heater,0.03,16:48,2024-06-05,32.5,Summer,3
403,Fridge,0.221,04:09,2024-01-08,24.9,Winter,4
365,Dishwasher,0.339,18:26,2024-03-21,26.9,Spring,3
193,Computer,0.058,02:17,2024-02-24,23.3,Winter,4
356,Heater,0.042,00:29,2024-10-24,25.9,Fall,3
326,Washing Machine,0.912,13:17,2024-02-16,14.1,Winter,3
166,TV,0.471,18:21,2024-06-26,37.8,Summer,3
458,Heater,0.03,14:10,2024-12-28,19.4,Winter,1
226,Dishwasher,1.067,22:55,2024-01-06,9.7,Winter,4
478,Fridge,0.162,02:25,2024-02-02,13.3,Winter,3
321,Air Conditioning,0.951,22:30,2024-03-07,29.2,Spring,3
40,Heater,0.03,22:27,2024-03-28,20.1,Spring,2
356,Heater,0.03,02:20,2024-07-04,24.7,Fall,2
189,Fridge,0.26,04:33,2024-03-03,30.8,Spring,3
289,Fridge,0.206,06:39,2024-03-14,24.9,Spring,1
352,Heater,0.03,04:46,2024-03-19,32.6,Spring,4
197,Heater,0.03,07:35,2024-09-08,31.5,Fall,3
308,Washing Machine,0.204,21:38,2024-06-17,28.5,Summer,5
261,Microwave,0.207,07:15,2024-09-04,29.8,Fall,2
256,Oven,0.371,00:24,2024-02-05,25.4,Winter,5
441,TV,0.049,05:04,2024-09-25,28.6,Fall,5
9,Microwave,0.085,01:18,2024-12-17,11.0,Winter,5
322,Computer,0.041,02:39,2024-10-18,30.4,Fall,5
79,Fridge,0.194,06:20,2024-01-18,6.8,Winter,3
201,Washing Machine,0.566,23:15,2024-01-02,21.1,Winter,5
45,Fridge,0.202,01:00,2024-01-04,19.1,Winter,4
363,Computer,0.348,11:52,2024-12-26,16.4,Winter,2
370,Heater,0.03,08:57,2024-03-25,21.8,Spring,3
16,Lights,0.131,08:04,2024-09-21,28.3,Fall,3
255,Oven,0.262,18:16,2024-04-06,36.5,Summer,4
396,Air Conditioning,0.094,00:02,2024-12-08,22.0,Winter,1
242,Microwave,0.064,01:20,2024-08-08,24.1,Fall,3
128,Heater,0.03,18:43,2024-05-17,42.0,Summer,4
462,Heater,0.03,01:55,2024-03-15,31.3,Spring,1
145,Washing Machine,0.203,00:36,2024-04-10,37.4,Summer,3
402,Washing Machine,0.974,15:57,2024-03-24,25.2,Spring,3
280,Computer,0.048,00:40,2024-03-12,33.1,Spring,2
430,Dishwasher,0.512,12:13,2024-04-04,40.9,Summer,1
272,Dishwasher,0.288,04:02,2024-10-03,33.5,Fall,2
472,Lights,0.391,23:32,2024-09-04,27.5,Fall,2
69,Fridge,0.252,13:18,2024-02-08,18.1,Winter,4
134,Heater,0.03,08:08,2024-09-07,25.8,Fall,3
400,Oven,2.09,14:07,2024-12-14,7.4,Winter,5
275,Heater,0.03,08:10,2024-03-03,24.3,Spring,3
414,Heater,0.032,10:15,2024-12-23,24.2,Winter,3
496,Fridge,0.227,09:25,2024-11-01,22.6,Fall,3
438,Air Conditioning,0.701,04:53,2024-03-02,26.5,Spring,4
400,Heater,0.04,11:37,2024-03-19,31.5,Spring,2
133,Fridge,0.177,20:57,2024-12-03,9.5,Winter,1
434,Lights,0.353,01:52,2024-12-14,26.7,Winter,3
371,Oven,2.288,13:58,2024-07-07,26.6,Fall,4
96,Lights,0.217,01:15,2024-05-20,43.0,Summer,3
332,Heater,0.047,15:24,2024-10-09,32.6,Fall,3
71,Air Conditioning,1.808,17:50,2024-03-13,28.8,Spring,4
366,Computer,0.419,11:24,2024-11-11,31.4,Fall,3
139,Dishwasher,0.276,00:51,2024-01-02,18.7,Winter,2
242,Washing Machine,0.885,05:15,2024-06-22,45.0,Summer,5
137,Fridge,0.253,12:15,2024-12-06,18.2,Winter,5
304,Lights,0.304,22:09,2024-06-19,28.5,Summer,3
289,Heater,0.051,15:14,2024-11-02,25.7,Fall,2
309,Washing Machine,0.565,10:08,2024-02-26,16.0,Winter,2
175,Fridge,0.191,18:07,2024-04-25,28.4,Summer,2
434,Lights,0.435,21:21,2024-04-04,34.4,Summer,5
155,TV,0.119,13:20,2024-03-21,30.3,Spring,3
90,Dishwasher,0.342,05:44,2024-04-24,39.3,Summer,5
151,Lights,0.517,18:11,2024-03-02,33.3,Spring,2
309,Heater,0.06,04:22,2024-03-08,33.1,Spring,3
164,TV,0.051,23:16,2024-02-01,20.4,Winter,2
108,Air Conditioning,0.099,03:24,2024-01-02,10.9,Winter,2
225,Computer,0.317,12:06,2024-03-13,26.9,Spring,4
425,Air Conditioning,0.542,01:16,2024-03-11,26.3,Spring,4
488,Heater,0.784,12:57,2024-01-18,8.9,Winter,1
48,Lights,0.524,20:10,2024-07-14,27.2,Fall,3
28,Computer,0.234,13:59,2024-04-24,44.6,Summer,1
374,Air Conditioning,2.039,07:36,2024-06-13,32.8,Summer,5
282,Dishwasher,0.922,13:42,2024-03-27,25.1,Spring,4
321,Dishwasher,0.255,06:30,2024-08-03,23.2,Fall,5
433,Heater,0.035,21:34,2024-05-21,36.0,Summer,1
199,Dishwasher,0.834,14:29,2024-05-15,34.3,Summer,2
135,Heater,0.06,22:42,2024-06-03,29.0,Summer,2
177,Microwave,0.108,01:33,2024-11-27,24.7,Fall,5
215,Heater,0.036,15:57,2024-11-13,32.6,Fall,5
438,Fridge,0.265,14:51,2024-03-07,33.3,Spring,1
99,Washing Machine,0.23,21:40,2024-01-27,6.8,Winter,2
76,Microwave,0.053,02:25,2024-05-18,43.5,Summer,5
283,Lights,0.254,00:33,2024-06-19,35.8,Summer,3
401,Lights,0.691,18:06,2024-01-25,8.4,Winter,4
